Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"S-215 Silver Pearl";Серого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"S-230 Sparkling Gold";Светло-бежевого;3658;760;12;Tristone;"серия Classical (Tristone)";Песчаная
"ST-009 Snow Range";Светло-серого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-012 Snow Brick";Светло-серого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-020 Petro";Серого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-105 Rosewood";Коричневого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-106 Chocolate Truffle";Коричневого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-113 White Limestone";Светло-серого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-116 Soil";Серого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-118 Ballast";Светло-бежевого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-121 Lemonade";Светло-бежевого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-129 Hailstones";Белого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-331 Gray Expo";Серого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"ST-102 French Roast";Коричневого;3658;760;12;Tristone;"серия Renaissance (Tristone)";Гранитная
"F-005 Cirrus";Светло-бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-020 Dark Sky";Серого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-102 Aquamarine";"Синего / Голубого";3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-103 Concord";Серого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-104 Frost Land";Белого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-105 Gold Twilight";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-106 Beige Wales";Светло-серого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-107 Copper Mountain";Коричневого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-108 Biege Stone";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-109 Rocky Mountain";Коричневого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-113 Cobble Stone";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-115 Natural Cotton";Белого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-122 Chestnut";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-130 Primrose";Светло-бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-136 Andes";Коричневого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-201 Indian Ocean";Светло-бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-203 Black Ice";Светло-серого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-211 Sand Crunch";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-213 Concrete Quartz";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-215 Mojave";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-218 Velvet";Серого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-227 Brown Granite";Коричневого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-303 Sweet Peanut";Бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-304 Rainy Sky";Светло-бежевого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-322 Primo";Белого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-355 Starry Sea";Серого;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"F-141 Coal Mine";Черного;3658;760;12;Tristone;"серия Romantic (Tristone)";Гранитная
"T-001 Chalcedony";Светло-серого;3658;760;12;Tristone;"серия Baroque (Tristone)";"Крупные вкрапления"
"T-003 Ambiance";Светло-бежевого;3658;760;12;Tristone;"серия Baroque (Tristone)";"Крупные вкрапления"
"T-006 Tanzanite";Черного;3658;760;12;Tristone;"серия Baroque (Tristone)";"Крупные вкрапления"
"T-008 Zultanite";Бежевого;3658;760;12;Tristone;"серия Baroque (Tristone)";"Крупные вкрапления"
"B-003 Tigereye";Бежевого;3658;760;12;Tristone;"серия Romanesque (Tristone)";"Крупные вкрапления"
"B-005 Andradite";Серого;3658;760;12;Tristone;"серия Romanesque (Tristone)";"Крупные вкрапления"
"TS-101 Antarctic Ice";Белого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-109 Whinstone";Серого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-111 Iris";Белого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-114 Cinnamon";Коричневого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-117 Sauron";Черного;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-116 Latona";Белого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-119 Red Amber";Бежевого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-128 Pebble Brook";Светло-бежевого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-201 Florence";Коричневого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-202 Apollo";Коричневого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"TS-203 Antelope Canyon";Светло-бежевого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"MT-001 Grise";Серого;3658;760;12;Tristone;"серия Byzantine (Tristone)";"Крупные вкрапления"
"V-001 Tijuana";Светло-бежевого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-003 Almond";Коричневого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-004 Shell";Бежевого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-006 Gold Amber";Желтого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-007 Venice";Белого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-008 Moonscape";Светло-бежевого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-009 Milk Grotto";Белого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-010 Canyon";Коричневого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-017 Colosseum";Коричневого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-019 Moria";Серого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-020 Solid Rock";Серого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-023 Timber Wolf";Серого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-105 Dark Forest";Черного;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"V-111 Day Break";Коричневого;3658;760;12;Tristone;"серия Marble (Tristone)";Мраморная
"E-602 American Freedom";Черного;3658;760;12;Grandex;"серия Explorer (Grandex)";"Крупные вкрапления"
"P-104 Pure White";Белого;3680;760;12;Grandex;"серия Pure Color (Grandex)";Монотонная
"E-601 Roman Coliseum";Серого;3658;760;12;Grandex;"серия Explorer (Grandex)";"Крупные вкрапления"
