Название;Цвет;Длина;Ширина;Толщина;Бренд;Коллекция;Текстура
"RM500 Жемчуг Приморья (матовый)";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R543 Пик Эльбруса";Светло-серого;3200;1600;20;АВАРУС;—;Мраморная
"R555 Балтийский берег";Светло-серого;3050;1440;20;АВАРУС;—;Мраморная
"R558 Просторы Поволжья";Бежевого;3050;1440;20;АВАРУС;—;Мраморная
"R677 Московская ночь";Черного;3050;1440;20;АВАРУС;—;Мраморная
"RM444 Ай-Петри (матовый)";Серого;3050;1440;20;АВАРУС;—;Мраморная
"R575 Красная поляна";Светло-бежевого;3050;1440;20;АВАРУС;—;Мраморная
"R511 Лёд Байкала (матовый)";Серого;3050;1440;20;АВАРУС;—;Мраморная
"RM543 Пик Эльбруса (матовый)";Светло-серого;3050;1440;20;АВАРУС;—;Мраморная
"RM560 Золотые Ворота (матовый)";Бежевого;3050;1440;20;АВАРУС;—;Мраморная
"C3269 Ash Grey";Серого;3320;1650;20;Stratos;—;Монотонная
"R590 Северное сияние";Черного;3050;1440;20;АВАРУС;—;Мраморная
"C1005 Milky White";Белого;3300;1650;20;Stratos;—;Монотонная
"C3168 Silver Way";Светло-серого;3300;1650;20;Stratos;—;Монотонная
"C1102 Super White";Белого;3300;1650;20;Stratos;—;Монотонная
" C1102 Super White Honed";Белого;3300;1650;20;Stratos;—;Монотонная
"C3146 Casla Nova";Светло-серого;3300;1650;20;Stratos;—;Монотонная
"C3311 Calacatta Sky";Белого;3300;1650;20;Stratos;—;Монотонная
"C4143 Mario";Белого;3300;1650;20;Stratos;—;Монотонная
"C4143H Mario Honed";Белого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
"C4145 Marina";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
" C4145H Marina Honed ";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
"C4221 Athena";Светло-бежевого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
" C4202 Calacatta Gold";Светло-бежевого;3300;1650;20;Stratos;—;Монотонная
"C4211 Calacatta Supreme";Светло-бежевого;3300;1650;20;Stratos;—;Монотонная
" C4211H Calacatta Supreme Honed  ";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
" C2262 Concrete Honed";Серого;3300;1650;20;Stratos;—;Мраморная
" C4342 Eternal";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
" C2240H Marquina Honed";Черного;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
"C4348 Montana";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
"C4250 Elio";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
"C4147 Mont";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
"C4147H Mont Honed";Светло-серого;3300;1650;20;Stratos;—;"Мраморная / Калакатта"
